"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Clean",,"",0,"normal",195,3,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Clean",,"",1,"normal",195,3,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Clean",,"",2,"normal",195,3,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Clean",,"",3,"normal",195,3,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Front Squat",,"",0,"normal",225,3,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Front Squat",,"",1,"normal",225,3,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Front Squat",,"",2,"normal",225,3,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Front Squat",,"",3,"normal",225,3,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Zercher Squat",,"",0,"normal",235,4,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Zercher Squat",,"",1,"normal",235,5,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Single Leg Extensions",,"",0,"normal",45,12,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Single Leg Extensions",,"",1,"normal",45,10,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Standing Leg Curls",,"",0,"normal",60,7,,,
"Morning workout ☀️","13 Jan 2026, 06:53","13 Jan 2026, 08:15","","Standing Leg Curls",,"",1,"normal",60,8,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Shoulder Press (Dumbbell)",,"",0,"normal",80,7,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Shoulder Press (Dumbbell)",,"",1,"normal",80,5,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Pull Up (Weighted)",,"",0,"normal",45,5,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Pull Up (Weighted)",,"",1,"normal",45,5,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Pull Up (Weighted)",,"",2,"normal",45,3,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Seated Cable Row - Bar Wide Grip",,"",0,"normal",180,9,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Seated Cable Row - Bar Wide Grip",,"",1,"normal",180,7,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Face Pull",,"On lat pull dowk",0,"normal",85,10,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Face Pull",,"On lat pull dowk",1,"normal",85,10,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Preacher Curl (Dumbbell)",,"",0,"normal",25,10,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Preacher Curl (Dumbbell)",,"",1,"normal",25,10,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Hammer Curl (Dumbbell)",,"",0,"normal",40,7,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Hammer Curl (Dumbbell)",,"",1,"normal",30,7,,,
"Morning workout ☀️","12 Jan 2026, 09:07","12 Jan 2026, 10:04","","Reverse Curl (Barbell)",,"",0,"normal",70,12,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Bench Press (Barbell)",,"",0,"normal",225,5,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Bench Press (Barbell)",,"",1,"normal",225,5,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Bench Press (Barbell)",,"",2,"normal",225,5,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Incline Bench Press (Dumbbell)",,"",0,"normal",100,3,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Incline Bench Press (Dumbbell)",,"",1,"normal",80,9,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Seated Lateral Raise (Dumbbell)",,"",0,"normal",20,8,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Seated Lateral Raise (Dumbbell)",,"",1,"normal",15,11,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Seated Lateral Raise (Dumbbell)",,"",2,"normal",15,13,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Triceps Pushdown",,"",0,"normal",80,12,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Triceps Pushdown",,"",1,"normal",80,11,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Triceps Extension (Cable)",,"Single arm",0,"normal",15,12,,,
"Afternoon workout 💪","11 Jan 2026, 14:38","11 Jan 2026, 15:29","","Triceps Extension (Cable)",,"Single arm",1,"normal",15,11,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Squat (Smith Machine)",,"",0,"normal",115,6,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Squat (Smith Machine)",,"",1,"normal",90,11,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Bulgarian Split Squat",,"Smith",0,"normal",25,11,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Bulgarian Split Squat",,"Smith",1,"normal",35,10,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Single Leg Extensions",,"",0,"normal",70,10,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Single Leg Extensions",,"",1,"normal",70,10,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Hip Abduction (Machine)",,"",0,"normal",185,12,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Hip Abduction (Machine)",,"",1,"normal",185,10,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Hip Adduction (Machine)",,"",0,"normal",50,12,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Hip Adduction (Machine)",,"",1,"normal",50,12,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Seated Leg Curl (Machine)",,"",0,"normal",100,11,,,
"Afternoon workout 💪","8 Jan 2026, 14:19","8 Jan 2026, 15:11","","Seated Leg Curl (Machine)",,"",1,"normal",100,11,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Bench Press (Barbell)",,"Failed 265, 225 long pauses backdowns",0,"normal",245,2,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Bench Press (Barbell)",,"Failed 265, 225 long pauses backdowns",1,"normal",225,3,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Bench Press (Barbell)",,"Failed 265, 225 long pauses backdowns",2,"normal",225,3,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Bench Press (Barbell)",,"Failed 265, 225 long pauses backdowns",3,"normal",225,3,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Incline Bench Press (Barbell)",,"",0,"normal",185,6,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Incline Bench Press (Barbell)",,"",1,"normal",185,6,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Lateral Raise (Dumbbell)",,"",0,"normal",30,14,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Lateral Raise (Dumbbell)",,"",1,"normal",35,9,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Single Arm Triceps Pushdown (Cable)",,"",0,"normal",30,12,,,
"Afternoon workout 💪","7 Jan 2026, 14:49","7 Jan 2026, 15:42","","Single Arm Triceps Pushdown (Cable)",,"",1,"normal",30,13,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","Shoulder Press (Dumbbell)",,"",0,"normal",85,5,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","Shoulder Press (Dumbbell)",,"",1,"normal",85,5,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","Lat Pulldown (Cable)",,"",0,"normal",190,8,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","Lat Pulldown (Cable)",,"",1,"normal",190,8,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","T Bar Row",,"",0,"normal",115,9,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","T Bar Row",,"",1,"normal",115,9,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",150,10,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",150,9,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","Preacher Curl (Machine)",,"",0,"normal",95,9,,,
"Afternoon workout 💪","6 Jan 2026, 14:05","6 Jan 2026, 15:08","","Preacher Curl (Machine)",,"",1,"failure",95,9,,,
